Electoral district number,Electoral district name,Liberal Name,Liberal Votes,Liberal Vote %,Conservative Name,Conservative Votes,Conservative Vote %,NDP Name,NDP Votes,NDP Vote %,Green Name,Green Votes,Green Vote %,Bloc Name,Bloc Votes,Bloc Vote %,Winner Name,Winner Party
59001,Abbotsford--South Langley,Kevin Gillies,18969,33.9,Sukhman Gill,24116,43.1,Dharmasena Yakandawela,2104,3.8,Melissa Snazell,577,1,N/A,N/A,N/A,Sukhman Gill,Conservative
24001,Abitibi--Baie-James--Nunavik--Eeyou,Mandy Gull-Masty,12578,41.2,Steve Corriveau,6850,22.4,Thai Dillon Higashihara,752,2.5,N/A,N/A,N/A,Sylvie Bérubé,10381,34,Mandy Gull-Masty,Liberal
24002,Abitibi--Témiscamingue,Jonathan Andresen,13551,27,Steve Tardif,9861,19.7,Jérémie Juneau,1480,3,N/A,N/A,N/A,Sébastien Lemire,24774,49.4,Sébastien Lemire,Bloc
12001,Acadie--Annapolis,Ronnie LeBlanc,22491,46.6,Chris d'Entremont,23024,47.7,Ingrid Deon,1768,3.7,Matthew Piggott,583,1.2,N/A,N/A,N/A,Chris d'Entremont,Conservative
13001,Acadie--Bathurst,Serge Cormier,32556,67.5,James Brown,12541,26,Ty Boulay,2108,4.4,N/A,N/A,N/A,N/A,N/A,N/A,Serge Cormier,Liberal
24003,Ahuntsic-Cartierville,Mélanie Joly,30833,61,Margie Ramos,7600,15,Idil Issa,3333,6.6,N/A,N/A,N/A,Nabila Ben Youssef,8538,16.9,Mélanie Joly,Liberal
48001,Airdrie--Cochrane,Sean Secord,16714,23.7,Blake Richards,50252,71.2,Sarah Zagoda,2591,3.7,N/A,N/A,N/A,N/A,N/A,N/A,Blake Richards,Conservative
35001,Ajax,Jennifer McKelvie,36975,56.3,Greg Brady,25658,39.1,Kyle Forster,1762,2.7,Leigh Paulseth,612,0.9,N/A,N/A,N/A,Jennifer McKelvie,Liberal
24004,Alfred-Pellan,Angelo Iacono,32934,54.6,Louis Ialenti,12671,21,Jordan Larochelle,2044,3.4,N/A,N/A,N/A,Isabel Dion,12259,20.3,Angelo Iacono,Liberal
35002,Algonquin--Renfrew--Pembroke,Cyndi Mills,25338,37.8,Cheryl Gallant,37333,55.7,Eileen Jones-Whyte,2469,3.7,Danilo Velasquez,618,0.9,N/A,N/A,N/A,Cheryl Gallant,Conservative
24005,Argenteuil--La Petite-Nation,Stéphane Lauzon,28124,47.5,Martin Charron,14697,24.8,Michel Welt,1499,2.5,Bertha Fuchsman-Small,807,1.4,Martin Héroux,13520,22.8,Stéphane Lauzon,Liberal
35003,Aurora--Oak Ridges--Richmond Hill,Leah Taylor Roy,26590,42.8,Costas Menegakis,34023,54.7,Danielle Maniuk,835,1.3,Tom Muench,465,0.7,N/A,N/A,N/A,Costas Menegakis,Conservative
10001,Avalon,Paul Connors,27563,58.6,Steve Kent,16953,36,Judy Vanta,2284,4.9,N/A,N/A,N/A,N/A,N/A,N/A,Paul Connors,Liberal
35004,Barrie South--Innisfil,John Olthuis,25557,38,John Brassard,38943,57.8,Andrew Harrigan,2130,3.2,N/A,N/A,N/A,N/A,N/A,N/A,John Brassard,Conservative
35005,Barrie--Springwater--Oro-Medonte,Rose Zacharias,29150,44.4,Doug Shipley,33949,51.7,Gabriela Trujillo,1559,2.4,Greg Taylor,893,1.4,N/A,N/A,N/A,Doug Shipley,Conservative
48002,Battle River--Crowfoot,Brent Sutton,7566,11.7,Damien Kurek,53684,82.8,James MacKay,2061,3.2,Douglas Gook,474,0.7,N/A,N/A,N/A,Damien Kurek,Conservative
47001,Battlefords--Lloydminster--Meadow Lake,Larry Ingram,7073,18.7,Rosemarie Falk,28634,75.8,William Petryk,1816,4.8,N/A,N/A,N/A,N/A,N/A,N/A,Rosemarie Falk,Conservative
